instrument,sample_id,spectral_energy,mean_power,spectral_entropy,spectral_slope,clay_area,clay_peak,clay_std,organic_area,organic_peak,organic_std
INST1,S1139,1675.0000000000005,0.999403341288783,7.012935218175292,-0.0006208476631358025,219.386006628126,1.550539113916491,0.2667267761848558,92.0467522353052,1.49674547556734,0.39096395482901214
INST1,S1239,1674.9999999999993,0.9994033412887824,7.024825196993747,-0.0006045475098742859,183.0058794682331,1.2570506905996226,0.1864590796437788,111.12078527115983,1.908797726026262,0.5419443050556967
INST1,S1444,1675.0000000000016,0.9994033412887837,6.987008421742341,-0.0006925831358126603,163.5576071293002,1.2156140044572128,0.22486991452121052,167.5693124155377,1.8803955794291178,0.16030465748819042
INST1,S1484,1674.9999999999989,0.9994033412887822,7.072775409923056,-0.0005494550605376151,113.37662925080383,1.0916519103160198,0.267606900566285,141.884896538937,1.5656093819092085,0.12928022317531465
INST1,S1498,1675.0000000000016,0.9994033412887837,7.005915994089477,-0.0006754997479426349,162.3444052791996,1.1907851109713814,0.21567264134785916,164.56620093531197,1.835066245932067,0.14317463958798257
INST1,S1603,1675.0000000000005,0.999403341288783,6.992325627950114,-0.0006864943376328336,163.0895091882236,1.2312296946216557,0.23387595061536598,167.20765570220408,1.886000633258737,0.15821337774719607
INST1,S1809,1674.9999999999998,0.9994033412887827,7.090659596631558,-0.0004787307974133111,215.75014546460693,1.1934865842330051,0.10291152231418217,79.2863531383554,0.9027995962125659,0.09298212844740712
INST1,S2136,1674.9999999999998,0.9994033412887827,6.996662379648444,-0.0006852026544267682,166.41341575442357,1.2178550689790044,0.21741963732896658,164.70624060433153,1.843908582545249,0.15561262900709716
INST1,S2580,1674.9999999999984,0.9994033412887818,7.011486043758721,-0.0004900119592347265,88.30304233106266,0.6361355009977377,0.13198037350804367,126.2628083062846,1.3810523682020077,0.07702075988295443
INST1,S2718,1674.999999999996,0.9994033412887804,6.942211982030749,-0.0006124146268520294,97.29604246748367,1.282418571792408,0.45526041808672396,183.2158947491784,2.273579060812609,0.2886730285153584
INST1,S2883,1675.0000000000007,0.9994033412887833,6.916861978081665,-0.0006345882656959619,90.65587564501004,1.1607336897223284,0.36643260769899605,194.60003362368192,2.187998015251985,0.17552090578521912
INST1,S2979,1675.0,0.9994033412887828,7.079737130952709,-0.0005645489301308728,137.61782492834007,1.092492365598018,0.24640234474693293,115.89226697715974,1.5471519874292088,0.24429513542108472
INST1,S3002,1675.0000000000023,0.9994033412887842,7.009560616173281,-0.0006882769277090653,182.85102672938297,1.290553879545706,0.21676270040905524,160.76101500656964,1.823838433911424,0.16027738661075272
INST1,S3042,1674.9999999999984,0.9994033412887818,6.757666288186658,-0.0005592983083750284,-181.0363197335009,-0.15954117462733877,0.33793182272206707,255.77952944544325,3.0669457007281213,0.3024987440951559
INST1,S3093,1674.9999999999995,0.9994033412887825,6.933714415024236,-0.0006422329826328224,118.62146695877897,1.2820760496113468,0.36797619838514956,188.53105291969868,2.1369316286587754,0.18019851033999093
INST1,S3278,1675.0,0.9994033412887828,6.989907463033871,-0.0006749986395889827,144.75103661117143,1.1450315429864628,0.23534423194874302,169.65231631729156,1.8862791423408856,0.14010390053508562
INST1,S3397,1675.0000000000016,0.9994033412887837,6.9428428144393814,-0.0006436954014520312,126.41300964143956,1.3026791611214543,0.36425064798007883,186.18933324308534,2.1292600360984038,0.18523581637168285
INST1,S3491,1674.999999999997,0.999403341288781,7.076781962875989,-0.0006288638205443437,217.3695442671366,1.4865243371662866,0.24965801066141494,105.32979803393516,1.4993461019990966,0.2911437340313534
INST1,S3837,1674.9999999999961,0.9994033412887805,7.07022287584783,-0.0006225285964185461,198.3065217115452,1.4468780051496564,0.2505824822718789,106.75479172788489,1.4869589529687273,0.281898832962383
INST1,S3844,1674.9999999999968,0.9994033412887809,6.851804930994013,-0.0005595478289777326,198.34300636036582,1.5553030222179116,0.2778355391574899,36.284896159568746,0.44593440147063534,0.0757297989236986
INST1,S4504,1675.0000000000002,0.9994033412887829,7.101287377055874,-0.0005739443842313956,163.33264965189232,1.1598116475787452,0.22548007291842162,114.12867644597223,1.5478847286116988,0.2581487202868954
INST1,S4824,1674.999999999998,0.9994033412887816,6.763751388766056,-0.0007071516063312643,65.40944251662053,1.0931236707283285,0.445297745322598,232.31292058058753,2.621939613415499,0.2393184294702743
INST1,S4858,1674.9999999999968,0.9994033412887809,7.129963732868335,-0.0005208092626698754,168.08735817041273,1.219604343450047,0.18556049280725068,102.79127516740729,1.2905509783257245,0.15123799639129465
INST1,S4932,1674.9999999999989,0.9994033412887822,7.140420489245186,-0.0005018658307584345,173.22824503035,1.2380432609072,0.17707439311330125,96.6612134789377,1.2217157133135732,0.15197327514497155
INST1,S5257,1674.9999999999982,0.9994033412887817,7.028054993777755,-0.0005603515434551128,112.7143065313629,1.1958963288363496,0.3172826077407857,141.98290087774282,1.72640897122701,0.19716201246533702
INST1,S5268,1674.9999999999968,0.9994033412887809,7.059673238613891,-0.0006551831375470321,165.03732457199226,1.2386513225520295,0.19435686570857316,149.38620973793968,1.554540968246003,0.08365716317922545
INST1,S5411,1674.9999999999982,0.9994033412887817,6.907519913625358,-0.0005302189343165996,-20.94398087481712,0.8486185937449355,0.5067060959115434,204.37308949860537,2.2594329993391793,0.178984868712984
INST1,S5608,1674.9999999999993,0.9994033412887824,6.839223383662667,-0.0005243867879601991,205.66093416928362,1.5965212682730818,0.3339041155142668,20.438413970611965,0.296063323709755,0.07821952483798873
INST1,S5656,1674.9999999999989,0.9994033412887822,6.92718251554205,-0.00034956695178740154,74.02483353964473,1.2104616563225474,0.5707337668443874,56.86462275957887,0.6836430522771039,0.09343440000901677
INST1,S5682,1674.9999999999993,0.9994033412887824,6.935917727965158,-0.0005165559865292206,101.01003594887065,1.1330681317077484,0.3314385123864886,106.61042394013772,1.3772816858449444,0.1835274327478517
INST1,S5943,1674.9999999999993,0.9994033412887824,7.008380144945013,-0.0005074964332247728,95.8510138127032,0.6432191124685112,0.10879076726096187,126.66353816330762,1.3903635314565708,0.08315523189729404
INST1,S6021,1675.0000000000005,0.999403341288783,6.988386049214317,-0.00043117926634108467,76.80673116138922,1.1977484883608194,0.4653888284742412,109.31134180855554,1.27187984796801,0.1471362927685832
INST1,S6084,1675.0000000000018,0.9994033412887839,7.129346252547574,-0.0005246173087478984,183.05493549315398,1.311929976503698,0.19978864971669272,98.7500494882322,1.2350038170285496,0.1437409604373457
INST1,S6448,1674.9999999999973,0.9994033412887812,7.069450838444733,-0.0006129287937908087,180.626373948964,1.3381474150704997,0.23943471096228905,106.39658642808993,1.4826819835311482,0.2867065584938442
INST1,S6826,1675.0,0.9994033412887828,7.046061185080596,-0.0005091686304302148,216.1129211568908,1.3359286368607253,0.15778081837802158,76.05905517914182,0.8992481820074771,0.11235776553319303
INST1,S6865,1675.0000000000011,0.9994033412887835,6.918293834664047,-0.0005737524439673188,52.670000116073886,1.1250500915168264,0.4787219635326259,188.10459973039255,2.114917535071377,0.19148471217951052
INST1,S7164,1675.000000000002,0.999403341288784,6.648166982525871,-0.0005910397435882655,-50.38323745661013,0.4003758319501894,0.3792106600766804,230.52206110537017,2.4219250595457837,0.08843948590169473
INST1,S7591,1675.0000000000027,0.9994033412887845,7.073079938912431,-0.0005626150538329779,128.99368334606316,1.060993770885318,0.25477938553369545,117.1178968915486,1.5598968601482321,0.24854164685512042
INST1,S7750,1674.9999999999984,0.9994033412887818,6.948294230293104,-0.0005067214761952515,120.59638739934871,1.1476592179485174,0.28901480398437485,95.90389228134757,1.2754351497773244,0.1790361317550791
INST1,S7816,1675.000000000001,0.9994033412887834,6.934466981275012,-0.0006389481979407013,116.54705945059919,1.2820734405037713,0.3706323398453565,189.33923140441962,2.167968128534944,0.1855537547517889
INST1,S7851,1674.9999999999982,0.9994033412887817,7.051789645571986,-0.0005419386533107672,146.92346582582576,1.3634006281153157,0.32866765581348034,121.86989427634532,1.5748397083357664,0.21129470656993274
INST1,S7949,1675.0000000000016,0.9994033412887837,6.919383866083061,-0.0005882208812013022,76.58798529773074,1.1892529674206238,0.4676196735938964,185.6554875596965,2.086152367301653,0.19617834708732423
INST1,S7973,1674.999999999999,0.9994033412887823,7.094169927471545,-0.0005657220591522564,154.12630735612044,1.1797909030953506,0.26323968079659676,116.4155015374259,1.561989105780281,0.2602287671572674
INST1,S8162,1675.0000000000014,0.9994033412887836,6.861153379648345,-0.0005567913015913285,199.32355000484648,1.570525001182659,0.28667618937089345,36.97355471239051,0.4658223159134687,0.07602146004348975
INST1,S8624,1674.9999999999993,0.9994033412887824,7.086015231434866,-0.0005737267956034495,144.03349390425495,1.2087721405037346,0.26497609546527184,144.0126421209945,1.5671935066643337,0.11774558883833486
INST1,S8808,1675.0000000000018,0.9994033412887839,6.911860363723245,-0.0005672112290446641,37.99213452637761,1.077977526337968,0.488637607375417,194.48626362278836,2.1754250603167797,0.1849380826235956
INST1,S9010,1675.0000000000005,0.999403341288783,6.9591440306850165,-0.0006409440183529037,136.90208186540892,1.3730367618729744,0.36567901592382474,180.40333247025703,2.0825700247202485,0.18942657108420352
INST1,S9183,1675.0000000000014,0.9994033412887836,6.934154324218129,-0.0006334552191919494,103.09784039613504,1.2194874702595364,0.36109737533659586,189.50263237274515,2.123089075939062,0.1699044221122912
INST1,S9231,1674.9999999999995,0.9994033412887825,6.999123200480978,-0.0004380556343535224,102.57108067948326,1.2902369423606337,0.44800603721595084,107.75819344189786,1.3026909097227968,0.16961430797650048
INST1,S9830,1674.9999999999989,0.9994033412887822,6.997065020677267,-0.0004549147227653614,93.543619186179,1.2668703089092532,0.45474114582116576,114.05655790055462,1.3689778414468867,0.16527891139168085
INST2,S1139,1675.0000000000002,0.9994033412887829,6.964315072020598,-0.0006503698333180682,212.2734389217454,1.5830129658101426,0.3030826643643335,104.89544751834097,1.67530658571028,0.43628536099131376
INST2,S1239,1675.0000000000011,0.9994033412887835,6.964690911688555,-0.0006393174837695443,186.89311871755226,1.3410010687304916,0.21814179425316038,123.09798596131039,2.104085649168946,0.5984809362849022
INST2,S1444,1675.0000000000034,0.9994033412887848,6.947556906264305,-0.0007087470371743931,151.828864238377,1.2443825900341103,0.26560961081514145,179.16366204588002,2.006836427095652,0.16677396804889838
INST2,S1484,1675.0000000000002,0.9994033412887829,7.055315218637317,-0.0005407041008789167,86.5527212201012,1.041339149934093,0.3060570512303221,154.85355909056477,1.7127603092695554,0.1388945551794137
INST2,S1498,1675.0000000000036,0.9994033412887849,6.957227027209389,-0.0006940954859044603,138.0099262741143,1.2074380382813152,0.273443439457429,177.5563967603157,1.9730470047180624,0.1509594275094237
INST2,S1603,1675.0000000000005,0.999403341288783,6.938634694217059,-0.0007052918708380668,136.640997274316,1.189821418871378,0.2725146701572268,182.7125313073717,2.0412532821501155,0.16466452074846613
INST2,S1809,1675.0000000000055,0.999403341288786,7.087425646213345,-0.000504167757778794,218.98623790280328,1.2077948591502983,0.08871556046668766,89.12702774266243,0.9934215081472573,0.08196655675870541
INST2,S2136,1675.0000000000007,0.9994033412887833,6.942637367052982,-0.0007117720439508613,147.20734179458688,1.2152597602956792,0.2608454232532727,180.02546237392437,2.0169030026470947,0.16371217477033873
INST2,S2580,1674.9999999999993,0.9994033412887824,6.962437189247698,-0.0005388282008157203,67.9808656385077,0.5392752890053584,0.0974120566598434,153.32497748995283,1.6252232398349342,0.08011725268294538
