algorithm,original_s,optimized_s,speedup_x
SNV,0.10379314000019804,0.03506885999959195,2.96
Moving Average,0.11156011999992188,0.08644300000014482,1.29
Global Features,1.3747305800003233,0.07811097999947378,17.6
